,Date,Cases,Mortalities,Recoveries
0,2020-03-02,1,0,0
1,2020-03-04,1,0,0
2,2020-03-05,3,0,0
3,2020-03-07,2,0,0
4,2020-03-08,4,0,0
5,2020-03-09,3,0,0
6,2020-03-10,4,0,0
7,2020-03-12,3,0,1
8,2020-03-13,11,0,0
9,2020-03-14,4,0,1
10,2020-03-15,11,0,1
11,2020-03-16,2,0,3
12,2020-03-17,13,0,0
13,2020-03-18,23,0,2
14,2020-03-19,10,0,0
15,2020-03-20,4,0,0
16,2020-03-21,5,0,2
17,2020-03-22,12,0,0
18,2020-03-23,6,0,0
19,2020-03-24,16,0,1
20,2020-03-25,26,0,0
21,2020-03-26,17,0,4
22,2020-03-27,18,0,0
23,2020-03-28,15,0,0
24,2020-03-29,33,0,1
25,2020-03-30,52,0,1
26,2020-03-31,20,0,3
27,2020-04-01,9,0,13
28,2020-04-02,24,1,8
29,2020-04-03,19,0,4
30,2020-04-04,32,0,4
31,2020-04-05,29,0,4
32,2020-04-06,21,1,4
33,2020-04-07,31,1,17
34,2020-04-08,12,2,2
35,2020-04-09,27,0,7
36,2020-04-10,19,0,7
37,2020-04-11,13,1,16
38,2020-04-12,8,1,20
39,2020-04-13,93,0,6
40,2020-04-14,184,0,1
41,2020-04-15,54,0,21
42,2020-04-16,60,0,18
43,2020-04-17,128,0,14
44,2020-04-18,327,0,35
45,2020-04-19,185,0,6
46,2020-04-20,157,0,54
47,2020-04-21,328,0,62
48,2020-04-22,192,0,55
49,2020-04-23,177,0,10
50,2020-04-24,148,0,46
51,2020-04-25,109,1,7
52,2020-04-26,227,0,54
53,2020-04-27,118,0,49
54,2020-04-28,185,4,13
55,2020-04-29,212,0,6
56,2020-04-30,344,0,24
57,2020-05-01,369,0,28
58,2020-05-02,587,1,69
59,2020-05-03,672,0,78
60,2020-05-04,477,0,156
61,2020-05-05,275,0,95
62,2020-05-06,456,1,36
63,2020-05-07,372,0,103
64,2020-05-08,305,1,118
65,2020-05-09,238,0,378
66,2020-05-10,389,0,207
67,2020-05-11,317,0,714
68,2020-05-12,351,0,56
69,2020-05-13,244,0,257
70,2020-05-14,453,1,507
71,2020-05-15,535,0,292
72,2020-05-16,688,1,650
73,2020-05-17,616,1,301
74,2020-05-18,329,2,511
75,2020-05-19,537,0,379
76,2020-05-20,427,0,1011
77,2020-05-21,568,1,1102
78,2020-05-22,269,1,564
79,2020-05-23,387,0,629
80,2020-05-24,360,0,414
81,2020-05-25,424,1,501
82,2020-05-26,354,0,569
83,2020-05-27,342,2,643
84,2020-05-28,383,2,437
85,2020-05-29,351,1,181
86,2020-05-30,337,3,279
87,2020-05-31,467,2,81
88,2020-06-01,404,1,66
89,2020-06-02,350,0,380
90,2020-06-03,317,2,144
91,2020-06-04,615,2,59
92,2020-06-05,695,6,343
93,2020-06-06,810,2,199
94,2020-06-07,1170,1,743
95,2020-06-08,795,8,543
96,2020-06-09,891,4,494
97,2020-06-10,828,5,672
98,2020-06-11,891,1,55
99,2020-06-12,817,4,506
100,2020-06-13,870,5,298
101,2020-06-14,1036,6,111
102,2020-06-15,895,7,78
103,2020-06-16,920,4,695
104,2020-06-17,1183,10,805
105,2020-06-18,1364,8,551
106,2020-06-19,1136,2,461
107,2020-06-20,854,1,354
108,2020-06-21,1153,6,295
109,2020-06-22,1042,7,1513
110,2020-06-23,1175,4,612
111,2020-06-24,1619,2,59
112,2020-06-25,1733,9,113
113,2020-06-26,1497,5,301
114,2020-06-27,1573,1,816
115,2020-06-28,1728,1,968
116,2020-06-29,2041,4,1565
117,2020-06-30,1205,6,920
118,2020-07-01,990,8,1431
119,2020-07-02,1782,10,983
120,2020-07-03,1489,5,785
121,2020-07-04,728,7,534
122,2020-07-05,1545,5,903
123,2020-07-06,779,3,2140
124,2020-07-07,750,2,1346
125,2020-07-08,977,1,1067
126,2020-07-09,1012,9,683
127,2020-07-10,995,4,716
128,2020-07-11,847,5,535
129,2020-07-12,889,6,1076
130,2020-07-13,865,2,2719
131,2020-07-14,837,4,1888
132,2020-07-15,825,3,1729
